Packet,Link Dir,Ord.Set Type,DLLP Type,TLP Type,Link Event,PSN,AckNak_Seq_Num,VC ID,HdrFC,DataFC,TC,TH,TD,EP,Attributes,AT,Length,RequesterID,Tag,CompleterID,Address,DeviceID,Register,1st BE,Last BE,Cpl Status,Byte Cnt,BCM,Lwr Addr,Msg Routing,Message Code,TS Link,TS Lane,N_FTS,Training Control,TS Data Rate,TS Gen3 Eq Control,TS Gen3 Pre-Cursor,TS Gen3 Cursor,TS Gen3 Post-Cursor,PMUX Channel ID,PMUX Metadata,Snoop,Requirement (Snoop),Scale (Snoop),Value (Snoop),No-Snoop,Requirement (No-Snoop),Scale (No-Snoop),Value (No-Snoop),LCRC,ECRC,CRC 16,Time Delta,Time Stamp,DATA
0,Downstream,,ACK,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xD366,133.250 ns,0441.801259454s,
1,Upstream,,,MWr(64),,120,,,,,,,,,,,64,001:00:0,0,,00000001:016AEC00,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0xD9C1860F,0x43716085,,0.000 ns,0441.801259588s,00000100 F6E80400 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 
2,Upstream,,,MWr(64),,121,,,,,,,,,,,64,001:00:0,0,,00000001:016AED00,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0xBFB5C6A6,0x2F9F0BC9,,27.750 ns,0441.801259660s,33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 00000100 F6E80400 
3,Downstream,,ACK,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xBCF9,69.750 ns,0441.801259688s,
4,Downstream,,ACK,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1DE2,145.250 ns,0441.801259760s,
5,Upstream,,,MWr(64),,122,,,,,,,,,,,64,001:00:0,0,,00000001:016AEE00,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x542F7786,0xC36E92BC,,0.500 ns,0441.801259904s,00000100 F7E80400 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 
6,Upstream,,,MWr(64),,123,,,,,,,,,,,64,001:00:0,0,,00000001:016AEF00,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x325B372F,0x81AD15A0,,27.000 ns,0441.801259978s,33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 00000100 F7E80400 
7,Downstream,,ACK,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xFECE,70.500 ns,0441.801260004s,
8,Downstream,,ACK,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x5FD5,141.250 ns,0441.801260076s,
9,Upstream,,,MWr(64),,124,,,,,,,,,,,64,001:00:0,0,,00000001:016AF000,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x821A14C7,0x02CAAD05,,0.000 ns,0441.801260218s,00000100 F8E80400 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 
